ID,Model Name,Category,Domain,Query Type,Latency (ms),Response Accuracy (%),Performance Time (s),Memory Usage (MB),Concurrent Queries,Optimization Technique,Notes
1,Lin-BurnsBot,Hybrid,Education,Complex Query,266,80.83,4.52,817,35,Model Pruning,Improved adaptive response
2,BrownMillerandNguyenBot,Open-Source,Education,Multi-turn Query,698,91.8,3.27,1493,26,Neural Architecture Search,Faster architecture
3,Trevino-PhillipsBot,Hybrid,Finance,Simple Query,285,91.26,3.14,1414,21,Reinforcement Learning,Faster architecture
4,SnyderWarrenandBrownBot,Rule-Based,Education,Simple Query,108,83.11,3.03,937,26,Model Pruning,Faster architecture
5,Crawford-HoodBot,Open-Source,Healthcare,Simple Query,759,81.56,3.07,1877,40,Neural Architecture Search,No optimization applied
6,CamachoIncBot,Open-Source,Education,Complex Query,750,82.85,1.69,724,15,Baseline,Faster architecture
7,KleinIncBot,Custom,Finance,Complex Query,295,84.64,0.67,1849,7,Neural Architecture Search,No optimization applied
8,Fernandez-ButlerBot,Custom,Healthcare,Simple Query,545,92.41,3.32,1151,47,Baseline,Improved adaptive response
9,Lewis-CalderonBot,Hybrid,Healthcare,Multi-turn Query,722,90.58,2.1,344,5,Baseline,Improved adaptive response
10,GutierrezBushandThomasBot,Custom,Finance,Complex Query,772,76.7,4.2,594,50,Reinforcement Learning,Improved adaptive response
11,RussellWilsonandAllisonBot,Custom,Retail,Multi-turn Query,432,77.23,3.09,1050,34,Baseline,No optimization applied
12,JonesIncBot,Open-Source,Finance,Multi-turn Query,646,82.93,0.54,833,24,Model Pruning,No optimization applied
13,WallerLtdBot,Custom,Healthcare,Complex Query,835,79.8,4.68,328,33,Baseline,Faster architecture
14,JohnsonFrazierandHillBot,Rule-Based,Retail,Complex Query,924,87.05,4.19,706,35,Neural Architecture Search,No optimization applied
15,RiosGriffinandRamirezBot,Hybrid,Retail,Multi-turn Query,536,79.93,2.36,524,40,Reinforcement Learning,Improved adaptive response
16,JonesIncBot,Custom,Healthcare,Multi-turn Query,432,94.62,1.92,988,2,Reinforcement Learning,Improved adaptive response
17,Snyder-WilliamsonBot,Hybrid,E-commerce,Simple Query,464,87.83,2.82,1074,7,Neural Architecture Search,Faster architecture
18,GardnerCarrollandJonesBot,Rule-Based,Education,Complex Query,733,90.29,0.65,1324,25,Model Pruning,Faster architecture
19,Butler-BensonBot,Domain-Specific,Education,Simple Query,674,85.73,4.96,309,15,Model Pruning,Faster architecture
20,Turner-GreenBot,Custom,Healthcare,Multi-turn Query,540,88.57,1.76,1812,35,Reinforcement Learning,No optimization applied
21,MurphyHarringtonandFerrellBot,Domain-Specific,Education,Complex Query,854,76.66,0.98,778,36,Reinforcement Learning,Improved adaptive response
22,SummersGroupBot,Hybrid,Education,Complex Query,988,87.26,4.33,1739,11,Baseline,Reduced memory footprint
23,FrazierDiazandCruzBot,Custom,Retail,Simple Query,837,94.62,1.36,1044,37,Baseline,No optimization applied
24,Miller-RamirezBot,Hybrid,Retail,Complex Query,853,92.71,3.88,1578,48,Reinforcement Learning,Faster architecture
25,Ramos-SanchezBot,Domain-Specific,Finance,Simple Query,818,91.48,4.9,1335,25,Baseline,Improved adaptive response
26,JonesIncBot,Custom,E-commerce,Multi-turn Query,487,79.06,2.38,638,28,Baseline,No optimization applied
27,Lewis-CalderonBot,Hybrid,Retail,Multi-turn Query,460,79.46,2.98,1853,31,Model Pruning,No optimization applied
28,JonesWalkerandWhiteBot,Open-Source,Retail,Simple Query,321,78.86,4.58,1329,45,Neural Architecture Search,Improved adaptive response
29,ThomasGroupBot,Rule-Based,E-commerce,Multi-turn Query,275,79.44,1.09,1090,32,Reinforcement Learning,Improved adaptive response
30,JonesWalkerandWhiteBot,Open-Source,Education,Simple Query,346,86,1.58,1169,39,Model Pruning,Faster architecture
31,Johnson-NorrisBot,Hybrid,Finance,Complex Query,688,91.9,3.54,1937,31,Model Pruning,Reduced memory footprint
32,CollinsThompsonandBrownBot,Custom,Finance,Complex Query,205,79.45,2.62,1880,5,Baseline,Reduced memory footprint
33,RichmondLLCBot,Open-Source,E-commerce,Multi-turn Query,645,80.97,2.17,1802,25,Neural Architecture Search,Improved adaptive response
34,Snyder-WilliamsonBot,Domain-Specific,E-commerce,Simple Query,594,88.46,2.9,878,7,Model Pruning,Faster architecture
35,Lin-BurnsBot,Custom,Healthcare,Complex Query,231,90.09,0.72,731,16,Reinforcement Learning,No optimization applied
36,Nguyen-MercadoBot,Domain-Specific,Retail,Complex Query,641,77.93,1.11,1995,33,Reinforcement Learning,No optimization applied
37,ButlerBrownandFernandezBot,Custom,Education,Simple Query,311,87.53,4.87,748,18,Baseline,Faster architecture
38,HoffmanIncBot,Custom,E-commerce,Complex Query,227,75.14,2.18,1248,4,Neural Architecture Search,Faster architecture
39,Ochoa-ChanBot,Hybrid,Retail,Multi-turn Query,769,76.33,4.55,496,7,Baseline,Improved adaptive response
40,Carson-BurkeBot,Custom,Finance,Multi-turn Query,597,92.25,3.87,1958,3,Reinforcement Learning,No optimization applied
41,Nielsen-DiazBot,Open-Source,Retail,Complex Query,966,94.43,3.69,1588,19,Baseline,No optimization applied
42,MorrowandSonsBot,Open-Source,Education,Simple Query,772,76.37,4.51,1943,36,Reinforcement Learning,Faster architecture
43,Hunt-GarzaBot,Open-Source,Education,Complex Query,302,80.95,1.85,849,10,Neural Architecture Search,No optimization applied
44,PerryGroupBot,Open-Source,Healthcare,Complex Query,128,89.23,2.83,1287,49,Neural Architecture Search,No optimization applied
45,SmithPLCBot,Open-Source,Healthcare,Complex Query,187,87.54,4.85,1765,32,Baseline,No optimization applied
46,Durham-StanleyBot,Hybrid,Healthcare,Complex Query,631,83.13,3.21,357,48,Neural Architecture Search,Faster architecture
47,Turner-GreenBot,Open-Source,E-commerce,Multi-turn Query,105,89.85,4.15,2032,50,Neural Architecture Search,Reduced memory footprint
48,NguyenKellyandBanksBot,Open-Source,Healthcare,Simple Query,544,79.6,4.42,321,3,Model Pruning,No optimization applied
49,AndersonPLCBot,Rule-Based,Finance,Multi-turn Query,100,86.94,1.39,834,19,Reinforcement Learning,Improved adaptive response
50,WagnerWilliamsandJohnsonBot,Hybrid,Finance,Multi-turn Query,226,82.93,4.5,567,16,Reinforcement Learning,Reduced memory footprint
51,Miller-RamirezBot,Rule-Based,Retail,Complex Query,799,83.86,1.68,972,36,Model Pruning,Improved adaptive response
52,Johnson-NorrisBot,Hybrid,Retail,Multi-turn Query,817,78.47,0.88,275,37,Neural Architecture Search,Reduced memory footprint
53,PerryGroupBot,Custom,Retail,Multi-turn Query,630,92.89,4.29,802,13,Reinforcement Learning,No optimization applied
54,EdwardsGroupBot,Domain-Specific,Retail,Simple Query,943,91.4,2.12,1592,12,Reinforcement Learning,Reduced memory footprint
55,Cochran-HarrisBot,Custom,Healthcare,Multi-turn Query,949,87.39,3.8,300,34,Neural Architecture Search,Improved adaptive response
56,MccoyAndrewsandHicksBot,Domain-Specific,Finance,Simple Query,393,82.92,2.33,756,34,Baseline,Reduced memory footprint
57,JohnstonDaltonandRileyBot,Domain-Specific,Retail,Complex Query,490,92.19,4.92,373,33,Model Pruning,Reduced memory footprint
58,Butler-BensonBot,Domain-Specific,Education,Complex Query,538,80.55,4.44,1585,26,Baseline,No optimization applied
59,Baldwin-LaraBot,Open-Source,Education,Complex Query,282,83.14,4.58,883,16,Reinforcement Learning,No optimization applied
60,FosterMullenandJohnsonBot,Open-Source,Healthcare,Multi-turn Query,528,93.12,2.44,317,23,Model Pruning,No optimization applied
61,Hall-MolinaBot,Hybrid,Retail,Simple Query,205,90.07,1.96,264,35,Model Pruning,Faster architecture
62,Butler-BensonBot,Domain-Specific,Healthcare,Complex Query,210,79.6,3.99,972,43,Reinforcement Learning,No optimization applied
63,BishopBarnesandSmithBot,Hybrid,Healthcare,Multi-turn Query,296,82.04,4.48,1570,1,Model Pruning,Reduced memory footprint
64,Ochoa-ChanBot,Hybrid,Retail,Simple Query,214,85.31,2.65,1976,3,Baseline,Reduced memory footprint
65,RowlandMartinandGarciaBot,Custom,Education,Complex Query,679,89.58,1.51,1139,36,Neural Architecture Search,No optimization applied
66,Turner-GreenBot,Open-Source,Education,Complex Query,102,84.04,2.12,820,28,Baseline,Faster architecture
67,BishopBarnesandSmithBot,Hybrid,Finance,Simple Query,195,83.29,1.76,1503,32,Baseline,Improved adaptive response
68,HayesRoachandCarrollBot,Rule-Based,Finance,Complex Query,749,75.02,0.69,1879,22,Reinforcement Learning,Improved adaptive response
69,CarterLtdBot,Domain-Specific,Healthcare,Multi-turn Query,919,87.63,4.59,1754,40,Neural Architecture Search,Faster architecture
70,EspinozaGroupBot,Hybrid,E-commerce,Multi-turn Query,540,83.82,0.68,1878,4,Reinforcement Learning,Faster architecture
71,RhodesRandolphandRodriguezBot,Domain-Specific,E-commerce,Complex Query,467,76.81,2.13,1239,26,Model Pruning,Faster architecture
72,ButlerBrownandFernandezBot,Domain-Specific,Education,Complex Query,228,78.36,1.73,690,20,Reinforcement Learning,Faster architecture
73,Greene-CoxBot,Rule-Based,Finance,Multi-turn Query,455,92.29,0.83,724,35,Neural Architecture Search,Improved adaptive response
74,AdkinsPLCBot,Rule-Based,Retail,Simple Query,846,87.48,3.34,1284,43,Model Pruning,No optimization applied
75,WallerLtdBot,Custom,E-commerce,Multi-turn Query,326,79.54,3.49,1785,6,Neural Architecture Search,Reduced memory footprint
76,JohnsonFrazierandHillBot,Custom,Finance,Multi-turn Query,962,88.43,4.44,613,45,Baseline,Faster architecture
77,SmithPLCBot,Domain-Specific,E-commerce,Simple Query,878,90.66,2.66,849,27,Baseline,Improved adaptive response
